Date,aapl_price,nasdaq_price
7/24/13,13.740474,3579.600098
7/25/13,13.677773,3605.189941
7/26/13,13.755443,3613.159912
7/29/13,13.967552,3599.139893
7/30/13,14.140043,3616.469971
7/31/13,14.115404,3626.370117
8/1/13,14.24485,3675.73999
8/2/13,14.42763,3689.590088
8/5/13,14.643171,3692.949951
8/6/13,14.512166,3665.77002
8/7/13,14.503743,3654.01001
8/8/13,14.47486,3669.120117
8/9/13,14.268885,3660.110107
8/12/13,14.674234,3669.949951
8/13/13,15.371593,3684.439941
8/14/13,15.651967,3669.27002
8/15/13,15.63345,3606.120117
8/16/13,15.772229,3602.780029
8/19/13,15.942095,3589.090088
8/20/13,15.732668,3613.590088
8/21/13,15.773172,3599.790039
8/22/13,15.792012,3638.709961
8/23/13,15.731099,3657.790039
8/26/13,15.792318,3657.570068
8/27/13,15.340821,3578.52002
8/28/13,15.413347,3593.350098
8/29/13,15.438466,3620.300049
8/30/13,15.297804,3589.870117
9/3/13,15.340498,3612.610107
9/4/13,15.657936,3649.040039
9/5/13,15.550556,3658.780029
9/6/13,15.643182,3660.01001
9/9/13,15.892795,3706.179932
9/10/13,15.530778,3729.02002
9/11/13,14.685228,3725.01001
9/12/13,14.841588,3715.969971
9/13/13,14.596995,3722.179932
9/16/13,14.132932,3717.850098
9/17/13,14.296202,3745.699951
9/18/13,14.59009,3783.639893
9/19/13,14.829346,3789.379883
9/20/13,14.675805,3774.72998
9/23/13,15.405184,3765.290039
9/24/13,15.35683,3768.25
9/25/13,15.119147,3761.100098
9/26/13,15.266407,3787.429932
9/27/13,15.157452,3781.590088
9/30/13,14.969063,3771.47998
10/1/13,15.321044,3817.97998
10/2/13,15.371276,3815.02002
10/3/13,15.178179,3774.340088
10/4/13,15.166244,3807.75
10/7/13,15.314443,3770.379883
10/8/13,15.100628,3694.830078
10/9/13,15.278024,3677.780029
10/10/13,15.373786,3760.75
10/11/13,15.473324,3791.870117
10/14/13,15.574735,3815.280029
10/15/13,15.657624,3794.01001
10/16/13,15.73392,3839.429932
10/17/13,15.840364,3863.149902
10/18/13,15.9782,3914.280029
10/21/13,16.369736,3920.050049
10/22/13,16.32296,3929.570068
10/23/13,16.482767,3907.070068
10/24/13,16.700983,3928.959961
10/25/13,16.51417,3943.360107
10/28/13,16.637251,3940.129883
10/29/13,16.222788,3952.340088
10/30/13,16.480886,3930.620117
10/31/13,16.41181,3919.709961
11/1/13,16.327976,3922.040039
11/4/13,16.538969,3936.590088
11/5/13,16.498152,3939.860107
11/6/13,16.45141,3931.949951
11/7/13,16.185184,3857.330078
11/8/13,16.440042,3919.22998
11/11/13,16.392361,3919.790039
11/12/13,16.42268,3919.919922
11/13/13,16.442257,3965.580078
11/14/13,16.680071,3972.73999
11/15/13,16.57995,3985.969971
11/18/13,16.379091,3949.070068
11/19/13,16.40815,3931.550049
11/20/13,16.264454,3921.27002
11/21/13,16.458364,3969.159912
11/22/13,16.41604,3991.649902
11/25/13,16.54047,3994.570068
11/26/13,16.845551,4017.75
11/27/13,17.24221,4044.75
11/29/13,17.561504,4059.889893
12/2/13,17.408649,4045.26001
